question,answer,url
"I'm trying to integrate my Freshdesk account with ClearFeed and index my knowledge source, but I'm on the Free plan. What should I do?","Hello there! 

To index your Freshdesk knowledge source, you'll need to upgrade from the Free plan. This is because making API calls to Freshdesk is unsupported in the Free plan, which is necessary for the integration process. 

You can find detailed steps for integrating Freshdesk with ClearFeed [here](https://clearfeed-help-center.ai/integrations/freshdesk#integrate-freshdesk). Once the integration is complete, you can follow the steps outlined in the document to add and test your knowledge source. 

If you have any further questions or need assistance with the integration process, feel free to reach out to our support team at support@clearfeed.ai. We're here to help!",https://docs.clearfeed.ai/clearfeed-help-center/answers/indexing-knowledge-sources/freshdesk
"I'm trying to understand how the ClearFeed Email Ticketing system works. If I send a support request via email, will my message be visible to the entire Slack channel, or is it directed to a specific agent? Also, how do I ensure that my message is not shared with other users?","When you send a support request via email, it is directed to a dedicated Slack channel. This ensures that your message is not visible to the entire Slack workspace but is shared with the relevant support team. 

To maintain privacy, you can configure the triage channel to only show tickets that have been converted from requests. This way, your email request will not be automatically shared with the entire channel. Instead, it will be visible only after an agent converts it into a ticket. 

Additionally, you can delete emails from the triage channel if they are recognized as spam. This will prevent any further replies from being synced back to Slack, ensuring that sensitive information is not inadvertently shared.",https://docs.clearfeed.ai/clearfeed-help-center/create-requests/email
"I want to file a ticket using the slash command in Slack, but I'm not sure if I have the 'Request Routing' feature enabled. Can you guide me through the process of enabling it and then filing a ticket?","To enable the 'Request Routing' feature in your DM Collection, follow these steps:

1. Navigate to the ClearFeed Help Center by clicking [here](https://docs.clearfeed.ai/clearfeed-help-center/create-requests/using-clearfeed-slack-app#request-routing).
2. Follow the instructions provided in the documentation to enable 'Request Routing'.

Once 'Request Routing' is enabled, you can file a ticket using the slash command by following these steps:

1. In the Slack message box, type the command **/File a ticket**.
2. Click on ClearFeed's 'File a ticket' shortcut or hit Enter.
3. Select the relevant form from the dropdown.
4. Enter the required details.
5. Your ticket will be created, and you can track and update it from the **Messages** section in the ClearFeed Slack App.

Please note that Salesforce, Jira, JSM, and Linear ticketing are not currently supported with this method. If you require support for these systems, you can contact us at support@clearfeed.ai.",https://docs.clearfeed.ai/clearfeed-help-center/create-requests/slash-command-shortcut-file-a-ticket
I've authorized and integrated ClearFeed with Microsoft Teams. How do I install the ClearFeed app on my Teams account and add it to specific teams?,"To install the ClearFeed app on your Teams account and add it to specific teams, follow these steps:

1. After authorization is complete, you'll be redirected to the ClearFeed web application. Download the ClearFeed app package from the modal that appears.

2. Once the download is finished, log in to [MS Teams](https://teams.microsoft.com/_).

3. Navigate to `Apps` -> `Manage your apps` -> `Upload an app`.

4. Select `Upload app to organization's app catalog` and upload the ClearFeed app package.

5. After the upload, you'll be redirected to your app catalog, where you'll find the ClearFeed app installed. If not, go to `Apps` -> `Built for your organization` to locate it.

6. From the ClearFeed app's card, click on `Add` and select the specific teams where you want to add ClearFeed.

Now you're all set to monitor conversations from all public channels within the selected teams.",https://docs.clearfeed.ai/clearfeed-help-center/getting-started/using-clearfeed-with-microsoft-teams/installing-clearfeed-on-teams
How do I add new users to ClearFeed and assign them the appropriate roles?,"To add new users to ClearFeed and assign them the appropriate roles, follow these steps:

1. Ensure the user is part of the Slack workspace before inviting them to ClearFeed.
2. Head over to the [Users section](https://web.clearfeed.app/settings/users) on the ClearFeed web app.
3. Click on **Invite Users** and enter the Email ID of the user.
4. Choose the relevant [User Role](/clearfeed-help-center/account-setup/manage-users#user-roles-1).

- **Admin**: Admins have full access to various settings, including configurations, integrations, and user invitations. They can create and modify collections, set up and adjust workflows, and establish and revise SLA policies and business hours.

- **User**: Users can modify settings for their own collections but cannot access or adjust configurations for other collections. They can set up and adjust workflows but cannot invite new users or access configuration settings.

- **Agent**: Agents are relevant for the Internal Helpdesk product edition, where ClearFeed is used as a ticketing system. Users and Admins need to be designated as Agents to work from the triage channel and respond using the ClearFeed web application.

5. You can invite multiple users at once by clicking on Add Invite.

Note: Only Admins can remove existing users or change their roles. Admins can also see which users are invited.",https://docs.clearfeed.ai/clearfeed-help-center/account-setup/manage-users
"I've added a knowledge source to ClearFeed, but it's not showing up as indexed. What should I do?","If your knowledge source is not showing up as indexed, there are a few steps you can take to resolve the issue. First, check the status of your knowledge source. If it is in the 'Initiated' or 'Indexing' state, you can click on the 'Refresh Status' button after a few minutes to see if the status has been updated. If the status is 'Failed', you should try re-indexing the knowledge source. If the problem persists, contact the ClearFeed support team at support@clearfeed.ai or via Slack/Intercom. It's important to note that information from knowledge sources that have been successfully indexed at least once will still be used for generating responses, even if their current status is not 'Indexed'.

To test GPT-powered answers, you must ensure that all necessary knowledge sources have been added and that their current status is 'Indexed'. You can navigate to the KBs section from the navigation bar, click on the 'Test' tab, select the appropriate tags for the knowledge sources you want to test, enter your question, and click 'Run' to begin the test. The generated answer and search results will be displayed below your question.",https://docs.clearfeed.ai/clearfeed-help-center/answers/managing-knowledge-sources
How do I assign a request to a specific team from the Triage channel?,"To assign a request to a specific team from the Triage channel, follow these steps:

1. For any request on the triage channel, click on **Edit**.
2. Under the **Select Team** option, choose the team to assign this request.
3. Members of the Slack user group will get a notification from ClearFeed about the request being assigned.

For more information on Team Assignment, please refer to the [documentation](https://web.clearfeed.app/settings/users).",https://docs.clearfeed.ai/clearfeed-help-center/clearfeed-helpdesk/team-assignment
"I'm trying to integrate my Confluence account with ClearFeed, but I'm not sure how to do it. Can you guide me through the process?","Sure! Here's a step-by-step guide to help you integrate your Confluence account with ClearFeed:

1. **Prerequisite - Integrating with Confluence**:
   - Navigate to the ClearFeed web app and go to the 'Settings' section.
   - Select the 'Integrations' tab and locate 'Confluence' from the list of available integrations.
   - Click the 'Connect' button and enter the following details:
     - Confluence subdomain
     - Email address of the Confluence administrator
     - Your Confluence email and API Key (use your PAT - personal access token)
   - After entering these details, click 'Connect' again.
   - A successful integration will redirect you back to the ClearFeed web app with a confirmation message.

2. **Indexing a Confluence Knowledge Source**:
   - Navigate to the 'KBs' section and select 'Confluence' from the 'Add Knowledge Source' dropdown.
   - Provide the following details:
     - Name: A title for the knowledge source
     - Tags: To categorize and structure the knowledge source
     - Spaces: Choose the Confluence spaces to index (all spaces or specific spaces)
     - Excluded URL: URLs to be omitted during indexing (including all subsidiary URLs)
     - Auto Reindex Regularly: Enable this to reindex the knowledge source once every 24 hours
   - After saving, the knowledge source will start indexing or will be picked soon.

3. **Reindexing Confluence Docs**:
   - To reindex Confluence documents, manually reindex the knowledge source by clicking the 'Reindex' button next to it.

For more information on managing knowledge sources and enabling GPT-powered answers, refer to the following resources:

- [Managing & Testing](/clearfeed-help-center/answers/managing-knowledge-sources)
- [Virtual Agent & Agent Assistant](/clearfeed-help-center/answers/virtual-agent-in-request-channel)

Feel free to reach out if you have any further questions or need additional assistance with the integration process!",https://docs.clearfeed.ai/clearfeed-help-center/answers/indexing-knowledge-sources/confluence
How can I filter and search for specific requests on the ClearFeed dashboard?,"The ClearFeed dashboard offers various filtering and search options to help you manage and find specific requests:

**Filtering Requests:**
- You can filter requests based on criteria such as request status, assignee, SLA breach status, time duration, and custom fields.
- Use the 'Requests with Tickets' filter to see only tickets.
- Use the 'Involves' filter to view requests where your team members and users are included, including request creators, replied users, or mentioned users.
- Use the 'Mentions' filter to find requests where your team members and users are tagged.

**Display Options:**
- Click on 'Display' on the right side of the dashboard to group requests by assignee or status, add/remove columns for the list view, and access additional parameters like First Assignment Time and Last Assignment Time for ClearFeed Requests and Tickets.

**Searching Requests:**
- You can search for any request using the ClearFeed ID (CF-ID) from the dashboard by clicking on the search bar. You can find the CF-ID of a request from Slack or the web app.
- A pro tip is to use the keyboard shortcut Ctrl + K (Command + K on Mac OS) to quickly open the search bar.

**Note:** ClearFeed is working on adding the ability to search using keywords and phrases, which will further enhance the search functionality.",https://docs.clearfeed.ai/clearfeed-help-center/manage-requests/clearfeed-web-application
"I've integrated my Zendesk account with ClearFeed, but I'm unsure how to index my knowledge source. Can you guide me through the process?","Sure, here's a step-by-step guide to index your Zendesk knowledge source in ClearFeed:

1. Navigate to the [KBs](https://web.clearfeed.app/knowledge-sources) section and select `Zendesk` from the ""Add Knowledge Source"" dropdown.
2. Provide the following details:
   - **Name**: A title for the knowledge source.
   - **Tags**: Customizable identifiers for categorization.
   - **Auto Reindex Regularly**: Enable for automatic reindexing every 24 hours.
3. Save your changes, and the knowledge source will start indexing (status: **Indexing**) or will be picked soon (status: **Initiated**).
4. For Zendesk documents, manually reindex by clicking ""Reindex"" next to the knowledge source.

For more details on managing knowledge sources, refer to [this document](/clearfeed-help-center/answers/managing-knowledge-sources).

Additionally, to enable GPT-Powered Answers in the collection settings, follow the steps outlined in [this document](/clearfeed-help-center/answers/managing-knowledge-sources).",https://docs.clearfeed.ai/clearfeed-help-center/answers/indexing-knowledge-sources/zendesk
What is the difference between the 'Time to First Response' and 'Response Time' metrics in ClearFeed's reporting system?,"The 'Time to First Response' metric measures the average time interval between the request being raised and the first response by a responder. It focuses on the initial response and is calculated for each request separately. On the other hand, the 'Response Time' metric calculates the average time interval between every message by a requestor and the next message by a responder. It includes the time to the first response and subsequent responses, and the calculation is done across all responses in a request. In summary, 'Time to First Response' focuses on the initial response, while 'Response Time' considers all responses in a request.",https://docs.clearfeed.ai/clearfeed-help-center/clearfeed-helpdesk/reporting/metric-definitions
"I'm trying to set up custom fields for our support tickets, but I'm not sure how to create and use them. Can you guide me through the process, including how to set up forms and use ClearFeed ticketing?","Sure, I'd be happy to help you with setting up custom fields for your support tickets. Here's a step-by-step guide:

1. **Create Custom Fields**:
    - Navigate to the 'Objects' section in the ClearFeed dashboard or go to <https://web.clearfeed.app/objects>.
    - Select 'Fields' from the horizontal navigation bar.
    - Click on 'Create New Field' to start creating a new custom field.
    - Enter a name for your field and select the field type (Single Select, Multi Select, Text, Date, or Number).
    - For Text fields, specify the input type (Single-line or Multi-line) and the character limit.
    - For Single Select or Multi Select fields, add the available options.
    - Click 'Save' to create the custom field.

2. **Use Custom Fields**:
    - Once custom fields are defined, you can use them against any request on ClearFeed.
    - On the Collections dashboard, you can choose and add field values, filter by custom field values, and manage field values through the request detail view.

3. **Set Up Forms**:
    - Learn how to create and use forms by following the steps in the [Forms](/clearfeed-help-center/clearfeed-helpdesk/objects-fields-and-forms/clickup/forms) section of the ClearFeed Help Center.

4. **Configure ClearFeed Ticketing**:
    - Follow the steps in the [ClearFeed Ticketing](/clearfeed-help-center/clearfeed-helpdesk/clearfeed-ticketing) section to set up and use ClearFeed ticketing.

For more detailed instructions and visual guidance, you can refer to the ClearFeed Help Center articles linked in the document. Additionally, the document provides answers to some frequently asked questions about custom fields, which you can use for further clarification.",https://docs.clearfeed.ai/clearfeed-help-center/clearfeed-helpdesk/custom-fields
"I've added the ClearFeed bot to my MS Teams account, but I'm not sure how to set up monitoring for specific channels. Can you guide me through the process of creating a collection and adding channels to monitor?","Sure, I'd be happy to help you with setting up ClearFeed for MS Teams! Here's a step-by-step guide:

1. **Create a Collection**:
   - Navigate to the ClearFeed web app at <https://web.clearfeed.app/>.
   - In the bottom-left section, click on 'Add a new Collection'.
   - Enter a relevant name for your collection.
   - Configure 'Responder Settings' by choosing one of the following options:
     - Enter a list of users: If specific people are considered responders.
     - Enter email domains: This makes anyone in the MS Teams account with the entered email domain a responder (ideal for customer support).
     - None: No responders will be set.
   - In 'Request Channels', enter the channels you want to monitor under the collection. It's recommended to add at least one channel.
   - Toggle on 'Auto-Assign' if you want to assign a ClearFeed request to the first responder.

2. **Add Channels to Monitor**:
   - After creating the collection, you can add the channels you want to monitor. This is done by entering the channel names in the 'Request Channels' section.

By following these steps, you can effectively set up ClearFeed to monitor specific channels in MS Teams. If you have any further questions or need additional assistance, feel free to ask!",https://docs.clearfeed.ai/clearfeed-help-center/getting-started/using-clearfeed-with-microsoft-teams/request-management-on-ms-teams
"I'm trying to create a form for HubSpot ticketing in ClearFeed, but I'm not sure how to add fields. Can you guide me through the process of adding fields to the form?","Sure! Here's a step-by-step guide to adding fields to your HubSpot ticketing form in ClearFeed:

1. Navigate to the **Objects** section on the ClearFeed web console and toggle HubSpot Ticketing under Objects.
2. Click on **Add Form** to create a new form or edit the **Default HubSpot Ticket Form**.
3. Provide a suitable name for the form. This name will be visible to requestors when they create a ticket.
4. By default, the form will include the 'Contact Email', 'Ticket Description', and 'Ticket Name' fields, which are pre-filled by ClearFeed. These fields are non-removable and need to be a part of the form.
5. You can unhide these fields by clicking on the eye icon, allowing users to edit them while creating the ticket.
6. Save your configuration and move on to the 'Edit Form' section if you want to allow users to modify fields after ticket creation.

For more information on field properties and configuration, refer to the ClearFeed Help Center: [HubSpot Field Properties](https://docs.clearfeed.ai/clearfeed-help-center/integrations/hubspot/forms#hubspot-field-properties).

If you have any further questions or need assistance with ClearFeed, feel free to reach out to our support team at support@clearfeed.ai.",https://docs.clearfeed.ai/clearfeed-help-center/integrations/hubspot/forms
I want to set up ClearFeed for internal support with an integration to Zendesk. Can you provide me with the relevant guide?,"For setting up ClearFeed for internal support with an integration to Zendesk, you can follow the guide here: [Slack <> Ticketing Integration](https://clearfeed-help-center/getting-started/for-internal-support/integrate-slack-and-internal-ticketing-systems). This guide will provide you with the necessary steps to integrate ClearFeed with Zendesk and other ticketing systems for internal support. The information in this guide was last updated a month ago.",https://docs.clearfeed.ai/clearfeed-help-center/getting-started/for-internal-support
How can I ensure that my internal team's conversations about a ticket remain private and not visible to the customer?,"To keep your internal team's conversations private and hidden from the customer, you can utilize the internal comments feature on the triage channel. Simply prefix your messages with the 🔒emoji to ensure they remain confidential and are not visible to the requestor. This allows your team to collaborate and discuss ticket-related matters without exposing sensitive information to the customer. For more information on using internal comments, refer to this [link](/clearfeed-help-center/manage-requests/triage-channels/for-internal-helpdesk#using-internal-comments-on-the-triage-channel).

Additionally, if you want to share the ticket with an engineering integration like Jira, GitHub, or Linear, you can use the 'More Actions' feature. This allows you to file tasks or link existing tasks from these external tools, providing better tracking and visibility. Comments from the triage channel thread will be synced with the linked task, ensuring everyone is on the same page. For more details on 'More Actions', check out this [link](/clearfeed-help-center/manage-requests/triage-channels/for-internal-helpdesk#triage-more-actions).

Remember, the triage channel is a powerful tool for managing tickets and facilitating internal communication. By using internal comments and 'More Actions', you can maintain privacy and efficiently collaborate on ticket-related tasks.",https://docs.clearfeed.ai/clearfeed-help-center/manage-requests/triage-channels/for-internal-helpdesk
"I'm trying to set up additional knowledge sources for our ClearFeed account, but I'm not sure how to do it. Can you provide step-by-step instructions for setting up SharePoint as a knowledge source?","Sure! Here's a step-by-step guide to set up SharePoint as a knowledge source for your ClearFeed account:

1. **Go to the KBs section on the ClearFeed web app**: Navigate to the [KBs](https://web.clearfeed.app/knowledge-sources) section on the ClearFeed web app. This is where you can manage your knowledge sources.

2. **Click on 'Add Knowledge Source' and select SharePoint**: In the KBs section, click on the 'Add Knowledge Source' button. From the options, select 'SharePoint' as your desired knowledge source.

3. **Follow the steps provided by Carbon**: After selecting SharePoint, you'll be guided through the setup process by Carbon AI. Follow the instructions provided to complete the integration. This may involve connecting your SharePoint account and selecting the specific files or folders you want to include in your ClearFeed knowledge base.

If you encounter any issues during the setup process or have further questions, you can contact ClearFeed support via email at support@clearfeed.ai or through the Slack channel. They'll be happy to assist you with any questions or concerns you may have regarding the setup of additional knowledge sources.",https://docs.clearfeed.ai/clearfeed-help-center/answers/indexing-knowledge-sources/other-supported-ks
